method,train_seed,teacher_mode_code,teacher_support,student_success_rate,exact_mode_retention_rate
K=16 offline proxy,44,50,12,0.6666666666666666,0.0
K=16 offline proxy,44,69,20,0.6,0.1
K=16 offline proxy,44,70,13,0.6153846153846154,0.0
K=16 offline proxy,44,73,7,0.5714285714285714,0.0
K=16 offline proxy,44,74,23,0.5652173913043478,0.0
K=16 offline proxy,44,81,28,0.7857142857142857,0.0
K=16 offline proxy,44,82,16,0.625,0.0
K=16 offline proxy,44,133,38,0.5263157894736842,0.0
K=16 offline proxy,44,134,28,0.6071428571428571,0.0
K=16 offline proxy,44,137,5,0.0,0.0
K=16 offline proxy,44,138,10,0.8,0.0
K=16 offline proxy,44,145,18,0.6666666666666666,0.0
K=16 offline proxy,44,146,26,0.7307692307692307,0.0
K=16 offline proxy,44,261,15,0.6,0.0
K=16 offline proxy,44,262,28,0.35714285714285715,0.03571428571428571
K=16 offline proxy,44,265,10,0.3,0.0
K=16 offline proxy,44,266,30,0.7333333333333333,0.0
K=16 offline proxy,44,273,10,0.9,0.0
K=16 offline proxy,44,274,14,0.5,0.0
